RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
15470,FOTCH,M,2007,Labrador Retriever Crossbreed,,10464,05/31/2015,08/30/2019,2016
55224,SANGRIA,F,2010,Italian Greyhound,,10037,04/10/2016,08/30/2019,2016
75708,CARLUSHA,M,2003,Shih Tzu,,11235,07/05/2016,08/30/2019,2016
76211,RUFUS,M,2002,Cocker Spaniel,,10024,07/07/2016,08/30/2019,2016
89066,CHEWIE,M,2009,Golden Retriever,,10025,08/30/2016,08/30/2019,2016
89083,LILY,F,2016,American Pit Bull Mix / Pit Bull Mix,,11211,08/30/2016,08/30/2019,2016
92394,HENNI,F,2009,American Pit Bull Terrier/Pit Bull,,11235,09/14/2016,08/30/2019,2016
92878,BUBBLES,F,2004,Shih Tzu,,10002,09/15/2016,08/30/2019,2016
2516,FOTCH,M,2007,Labrador Retriever Crossbreed,,10464,05/31/2015,08/30/2019,2017
14358,SANGRIA,F,2010,Italian Greyhound,,10037,04/10/2016,08/30/2019,2017
22933,CARLUSHA,M,2003,Shih Tzu,,11235,07/05/2016,08/30/2019,2017
23161,RUFUS,M,2002,Cocker Spaniel,,10024,07/07/2016,08/30/2019,2017
29469,LILY,F,2016,American Pit Bull Mix / Pit Bull Mix,,11211,08/30/2016,08/30/2019,2017
29476,CHEWIE,M,2009,Golden Retriever,,10025,08/30/2016,08/30/2019,2017
29718,DAX,M,2007,"Schnauzer, Miniature",,10010,09/01/2016,08/30/2019,2017
31095,HENNI,F,2009,American Pit Bull Terrier/Pit Bull,,11235,09/14/2016,08/30/2019,2017
31180,BUBBLES,F,2004,Shih Tzu,,10002,09/15/2016,08/30/2019,2017
32010,LUCY,F,2006,Cocker Spaniel,,10463,09/21/2016,08/30/2019,2017
78870,BUBA,F,2005,Unknown,,10014,07/12/2017,08/30/2019,2017
79420,GINGER,F,2007,Unknown,,10308,07/14/2017,08/30/2019,2017
